1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3E00000078683641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Tue Jun 27 06:01:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Thu Jul 20 17:16:01 BST 2023
Total Mission Samples:  6349
Total Device Samples:  24571
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/07/23 17:16:01,C,16.08
20/07/23 17:31:01,C,17.082
20/07/23 17:46:01,C,16.08
20/07/23 18:01:01,C,14.576
20/07/23 18:16:01,C,17.082
20/07/23 18:31:01,C,16.08
20/07/23 18:46:01,C,16.581
20/07/23 19:01:01,C,19.085
20/07/23 19:16:01,C,17.582
20/07/23 19:31:01,C,13.072
20/07/23 19:46:01,C,11.568
20/07/23 20:01:01,C,11.568
20/07/23 20:16:01,C,11.066
20/07/23 20:31:01,C,11.066
20/07/23 20:46:01,C,11.066
20/07/23 21:01:01,C,11.066
20/07/23 21:16:01,C,11.568
20/07/23 21:31:01,C,11.066
20/07/23 21:46:01,C,10.564
20/07/23 22:01:01,C,11.066
20/07/23 22:16:01,C,10.564
20/07/23 22:31:01,C,10.063
20/07/23 22:46:01,C,10.564
20/07/23 23:01:01,C,10.564
20/07/23 23:16:01,C,10.564
20/07/23 23:31:01,C,10.564
20/07/23 23:46:01,C,10.063
21/07/23 00:01:01,C,9.561
21/07/23 00:16:01,C,10.063
21/07/23 00:31:01,C,10.063
21/07/23 00:46:01,C,10.564
21/07/23 01:01:01,C,10.564
21/07/23 01:16:01,C,9.561
21/07/23 01:31:01,C,9.561
21/07/23 01:46:01,C,12.069
21/07/23 02:01:01,C,12.069
21/07/23 02:16:01,C,12.069
21/07/23 02:31:01,C,11.568
21/07/23 02:46:01,C,10.063
21/07/23 03:01:01,C,10.063
21/07/23 03:16:01,C,9.561
21/07/23 03:31:01,C,9.059
21/07/23 03:46:01,C,9.059
21/07/23 04:01:01,C,10.564
21/07/23 04:16:01,C,10.063
21/07/23 04:31:01,C,12.571
21/07/23 04:46:01,C,11.568
21/07/23 05:01:01,C,11.066
21/07/23 05:16:01,C,10.564
21/07/23 05:31:01,C,10.063
21/07/23 05:46:01,C,10.564
21/07/23 06:01:01,C,10.564
21/07/23 06:16:01,C,10.564
21/07/23 06:31:01,C,10.564
21/07/23 06:46:01,C,10.564
21/07/23 07:01:01,C,11.066
21/07/23 07:16:01,C,11.066
21/07/23 07:31:01,C,12.571
21/07/23 07:46:01,C,12.571
21/07/23 08:01:01,C,12.571
21/07/23 08:16:01,C,12.069
21/07/23 08:31:01,C,13.072
21/07/23 08:46:01,C,13.072
21/07/23 09:01:01,C,13.573
21/07/23 09:16:01,C,13.072
21/07/23 09:31:01,C,13.072
21/07/23 09:46:01,C,13.072
21/07/23 10:01:01,C,13.072
21/07/23 10:16:01,C,12.571
21/07/23 10:31:01,C,12.571
21/07/23 10:46:01,C,14.075
21/07/23 11:01:01,C,12.571
21/07/23 11:16:01,C,13.072
21/07/23 11:31:01,C,14.075
21/07/23 11:46:01,C,14.075
21/07/23 12:01:01,C,13.072
21/07/23 12:16:01,C,13.072
21/07/23 12:31:01,C,11.568
21/07/23 12:46:01,C,11.568
21/07/23 13:01:01,C,13.072
21/07/23 13:16:01,C,14.576
21/07/23 13:31:01,C,15.578
21/07/23 13:46:01,C,12.571
21/07/23 14:01:01,C,11.568
21/07/23 14:16:01,C,12.571
21/07/23 14:31:01,C,12.069
21/07/23 14:46:01,C,11.568
21/07/23 15:01:01,C,11.568
21/07/23 15:16:01,C,11.568
21/07/23 15:31:01,C,11.568
21/07/23 15:46:01,C,11.066
21/07/23 16:01:01,C,10.564
21/07/23 16:16:01,C,10.063
21/07/23 16:31:01,C,10.063
21/07/23 16:46:01,C,10.063
21/07/23 17:01:01,C,10.063
21/07/23 17:16:01,C,9.561
21/07/23 17:31:01,C,9.561
21/07/23 17:46:01,C,9.059
21/07/23 18:01:01,C,9.059
21/07/23 18:16:01,C,9.059
21/07/23 18:31:01,C,9.059
21/07/23 18:46:01,C,8.557
21/07/23 19:01:01,C,8.557
21/07/23 19:16:01,C,8.557
21/07/23 19:31:01,C,8.557
21/07/23 19:46:01,C,8.557
21/07/23 20:01:01,C,8.557
21/07/23 20:16:01,C,8.557
21/07/23 20:31:01,C,8.055
21/07/23 20:46:01,C,8.055
21/07/23 21:01:01,C,8.055
21/07/23 21:16:01,C,7.553
21/07/23 21:31:01,C,7.553
21/07/23 21:46:01,C,7.553
21/07/23 22:01:01,C,7.553
21/07/23 22:16:01,C,7.553
21/07/23 22:31:01,C,7.553
21/07/23 22:46:01,C,7.553
21/07/23 23:01:01,C,7.553
21/07/23 23:16:01,C,7.553
21/07/23 23:31:01,C,7.553
21/07/23 23:46:01,C,7.553
22/07/23 00:01:01,C,7.553
22/07/23 00:16:01,C,7.553
22/07/23 00:31:01,C,7.553
22/07/23 00:46:01,C,7.553
22/07/23 01:01:01,C,7.553
22/07/23 01:16:01,C,7.553
22/07/23 01:31:01,C,7.553
22/07/23 01:46:01,C,7.553
22/07/23 02:01:01,C,7.553
22/07/23 02:16:01,C,7.553
22/07/23 02:31:01,C,7.553
22/07/23 02:46:01,C,7.553
22/07/23 03:01:01,C,7.553
22/07/23 03:16:01,C,7.553
22/07/23 03:31:01,C,8.055
22/07/23 03:46:01,C,8.055
22/07/23 04:01:01,C,8.055
22/07/23 04:16:01,C,8.557
